time,AirTemp,RelHum,WindSpeed,Rain,Cloud,ShortWave
2018-12-07 12:00:00,10.5,86.21,7.4,0.002,0.93,18.1
2018-12-08 12:00:00,7.2,85.38,8.8,0.013,0.79,21.5
2018-12-09 12:00:00,7.2,88.29,8.2,0.003,0.8,17.8
2018-12-10 12:00:00,4.5,86.88,5.7,0.001,0.58,30.7
2018-12-11 12:00:00,3.4,88.54,4.1,0.001,0.79,25.1
2018-12-12 12:00:00,2.6,85.54,2.7,0,0.71,28.6
2018-12-13 12:00:00,0.1,74.29,3.1,0,0.46,40.9
2018-12-14 12:00:00,0.3,66.21,3,0,0.96,17.3
2018-12-15 12:00:00,-0.3,70.46,1.8,0.001,0.95,17.2
2018-12-16 12:00:00,-0.7,90.33,1.7,0.003,1,17.2
2018-12-17 12:00:00,2.9,98.67,2.7,0.001,0.93,17.1
2018-12-18 12:00:00,4,91.58,2.1,0,0.88,30.7
2018-12-19 12:00:00,3.5,93.58,1.4,0.001,0.95,17.1
2018-12-20 12:00:00,6.5,90.54,4.2,0.002,0.91,17
2018-12-21 12:00:00,8.9,87.67,8.1,0.007,0.93,17
2018-12-22 12:00:00,10.2,80.46,6.7,0,0.75,35.6
2018-12-23 12:00:00,8.6,93.38,4.1,0.013,0.94,17.1
2018-12-24 12:00:00,4.3,88.08,3.8,0,0.56,30.5
2018-12-25 12:00:00,-0.4,89.38,2.3,0,0.69,19.7
2018-12-26 12:00:00,-1.8,99.33,2.5,0,0.81,17.2
2018-12-27 12:00:00,-1.2,98.83,1.8,0,1,17.2
2018-12-28 12:00:00,-0.7,97.38,2.7,0,1,17.3
2018-12-29 12:00:00,1.1,96.33,4.7,0.001,1,17.4
2018-12-30 12:00:00,5.6,89.38,4.8,0.001,0.94,17.5
2018-12-31 12:00:00,6.5,98.67,2.7,0,0.98,17.6
2019-01-01 12:00:00,6.2,90.83,5.8,0.003,0.93,17.7
2019-01-02 12:00:00,1.8,76.54,5.2,0,0.39,36.4
2019-01-03 12:00:00,-0.7,91.38,2.6,0,0.78,18
2019-01-04 12:00:00,1.1,93.29,3.1,0.004,0.93,30.6
2019-01-05 12:00:00,4.6,93.54,6.4,0.003,0.93,18.3
2019-01-06 12:00:00,5.5,91.25,5.2,0.001,0.9,18.5
2019-01-07 12:00:00,4.4,91.42,4.8,0.006,0.94,19.5
2019-01-08 12:00:00,4.7,90.92,7.7,0.005,0.86,19.9
2019-01-09 12:00:00,3,75.13,5.2,0,0.84,25.1
2019-01-10 12:00:00,1.3,73.79,3.6,0,0.88,19.4
2019-01-11 12:00:00,0,93.63,3.8,0.004,0.98,19.5
2019-01-12 12:00:00,3.4,98.54,5.5,0.007,0.96,19.7
2019-01-13 12:00:00,6.5,95.92,6.9,0.007,0.81,20
2019-01-14 12:00:00,4.4,85.67,5.2,0.004,0.61,30.6
2019-01-15 12:00:00,3.9,84.5,5.4,0,0.89,20.5
2019-01-16 12:00:00,4.9,76.92,5.1,0,0.9,21.9
2019-01-17 12:00:00,4.7,85.13,6.8,0.003,0.74,32.4
2019-01-18 12:00:00,0.4,82.21,2.7,0,0.68,61.4
2019-01-19 12:00:00,-3.2,83.88,2.1,0,0.49,81
2019-01-20 12:00:00,-5.2,86.04,2.1,0,0.3,80.7
2019-01-21 12:00:00,-6.1,85.83,1.8,0,0.06,81.1
2019-01-22 12:00:00,-5.1,85.29,1.5,0,0.81,22.6
2019-01-23 12:00:00,-2.5,76.5,2.2,0,1,22.9
2019-01-24 12:00:00,-3.3,82.21,2.4,0,0.93,23.3
2019-01-25 12:00:00,-1.5,84.33,3.6,0.001,0.96,23.6
2019-01-26 12:00:00,2.4,93.38,5.8,0.001,0.99,24
2019-01-27 12:00:00,5.1,88.13,6.1,0.005,0.93,24.8
2019-01-28 12:00:00,2.4,87.08,7.2,0.002,0.9,24.9
2019-01-29 12:00:00,1,85.88,3,0,0.78,32.3
2019-01-30 12:00:00,0.7,81.17,3.7,0.001,0.93,25.5
2019-01-31 12:00:00,-0.3,86.92,1.8,0.001,0.74,25.9
2019-02-01 12:00:00,2.1,91.83,2,0.001,0.94,26.4
2019-02-02 12:00:00,3.4,97.71,1.8,0,0.98,26.8
2019-02-03 12:00:00,2.5,78.96,4.2,0,0.93,27.2
2019-02-04 12:00:00,0.2,81.08,2.3,0,0.61,87.1
2019-02-05 12:00:00,1.4,80.92,1.9,0,0.81,29.1
2019-02-06 12:00:00,-0.3,85.83,1.6,0,0.6,90.7
2019-02-07 12:00:00,2.4,89.25,2.7,0.001,0.79,30.2
2019-02-08 12:00:00,6.9,74.79,5.3,0.001,0.89,29.6
2019-02-09 12:00:00,7.2,81.96,7.3,0.002,0.86,37.3
2019-02-10 12:00:00,8.1,77.04,7.2,0.003,0.96,30.9
2019-02-11 12:00:00,4.7,77.83,6.6,0,0.78,38.4
2019-02-12 12:00:00,2.4,82.13,3.6,0,0.73,36.1
2019-02-13 12:00:00,1.6,81.04,1.6,0,0.49,99.2
2019-02-14 12:00:00,1.1,84.29,1.4,0,0.48,95.5
2019-02-15 12:00:00,5,73.88,2.5,0,0.03,126.4
2019-02-16 12:00:00,3.4,80.29,1.5,0,0.05,127.5
2019-02-17 12:00:00,3.4,79.08,1.3,0,0.63,128.1
2019-02-18 12:00:00,4.1,73.88,1.4,0,0.25,123.9
2019-02-19 12:00:00,7.1,72.46,2.9,0.001,0.69,69.4
2019-02-20 12:00:00,4.2,83.42,1.8,0,0.79,83.7
2019-02-21 12:00:00,6.3,85.83,2.1,0,0.7,61.2
2019-02-22 12:00:00,8.7,79.79,3,0,0.71,45.7
2019-02-23 12:00:00,3.9,66.04,2.7,0,0.6,129.2
2019-02-24 12:00:00,3.1,53.04,2.3,0,0.35,144.6
2019-02-25 12:00:00,5.4,55.08,2.1,0,0.46,146.3
2019-02-26 12:00:00,6.5,67.58,1.6,0,0.38,147.5
2019-02-27 12:00:00,5.9,68.17,1.4,0,0.03,150.6
2019-02-28 12:00:00,10.6,61.96,5,0.007,0.38,130.1
2019-03-01 12:00:00,8.6,87.54,4.6,0.001,0.9,42.4
2019-03-02 12:00:00,8.1,81.25,4.1,0,0.93,43.9
2019-03-03 12:00:00,10.4,73.88,7.1,0,0.93,42.6
2019-03-04 12:00:00,9.3,72.71,8.4,0.004,0.86,51.5
2019-03-05 12:00:00,6,82.5,6.7,0.002,0.8,68.9
2019-03-06 12:00:00,9.5,70.54,2.6,0.001,0.9,110.4
2019-03-07 12:00:00,10.4,67.08,8.2,0.002,0.76,80.8
2019-03-08 12:00:00,7.3,78.42,7,0.003,0.76,64.9
2019-03-09 12:00:00,9.5,72.5,9,0.004,0.88,55.7
2019-03-10 12:00:00,9.8,73.88,9.3,0.003,0.84,81.5
2019-03-11 12:00:00,5.4,62.83,7.7,0,0.64,105.8
2019-03-12 12:00:00,6.7,56.54,5.6,0,0.81,115.4
2019-03-13 12:00:00,6.1,76.13,9,0.004,0.76,60.3
2019-03-14 12:00:00,5.5,91.92,7.1,0.011,0.85,60.4
2019-03-15 12:00:00,9.3,87.92,8.7,0.004,0.9,51.5
2019-03-16 12:00:00,10.7,77.38,6.9,0,0.84,50.3
2019-03-17 12:00:00,7.9,79,7,0.003,0.69,55.4
2019-03-18 12:00:00,5,78.29,4.5,0,0.48,105.3
2019-03-19 12:00:00,3.7,72.67,1.5,0,0.19,182.6
2019-03-20 12:00:00,4.2,69.42,1.4,0,0.35,196.5
2019-03-21 12:00:00,7.2,61.79,2.1,0,0.5,202.1
2019-03-22 12:00:00,9.3,62.75,2.1,0,0.34,201.9
2019-03-23 12:00:00,9.2,70.08,2.6,0,0.43,196.3
2019-03-24 12:00:00,7.3,78.21,3.2,0,0.44,104.8
2019-03-25 12:00:00,4.5,79.08,4.7,0.002,0.63,97.2
2019-03-26 12:00:00,4.6,78.13,3.1,0,0.64,91.1
2019-03-27 12:00:00,5.4,74.13,1.1,0,0.53,108.6
2019-03-28 12:00:00,7.3,73.92,2.4,0,0.6,121.2
2019-03-29 12:00:00,8.8,73.08,2.5,0,0.16,195.7
2019-03-30 12:00:00,10,66.58,2.3,0,0.19,195.7
2019-03-31 12:00:00,10.9,63.25,4,0,0.26,183.1
2019-04-01 12:00:00,10.7,62.25,3.7,0,0.09,216.6
2019-04-02 12:00:00,13,59.21,3.7,0,0.74,145.9
2019-04-03 12:00:00,8.5,84.42,3.1,0.008,0.99,61.1
2019-04-04 12:00:00,5.2,94.33,3,0.002,0.96,61.7
2019-04-05 12:00:00,6.5,93.08,1.9,0,0.98,62.3
2019-04-06 12:00:00,9.6,80.92,2.1,0,0.76,145.6
2019-04-07 12:00:00,12.6,66.42,2.2,0,0.56,208.7
2019-04-08 12:00:00,12,80.04,3.1,0,0.85,103.5
2019-04-09 12:00:00,10.8,86.17,2,0.011,0.86,78.3
2019-04-10 12:00:00,9.5,65.75,5.6,0,0.65,153.7
2019-04-11 12:00:00,6.8,50.71,5.2,0,0.09,247.6
2019-04-12 12:00:00,4.4,56.88,4.5,0,0.69,111.7
2019-04-13 12:00:00,3.7,71.92,4.1,0.004,0.91,97.5
2019-04-14 12:00:00,5.9,70.33,4.9,0,0.73,201.9
2019-04-15 12:00:00,9.9,62.54,3.2,0,0.19,244.9
2019-04-16 12:00:00,11.9,56.92,3.3,0.003,0.54,213.9
2019-04-17 12:00:00,12.4,74.5,2.4,0,0.73,158
2019-04-18 12:00:00,14,54.71,3.6,0,0.29,251.2
2019-04-19 12:00:00,14.4,52.58,3.1,0,0.06,267
2019-04-20 12:00:00,15.5,49.83,3,0,0.04,267.5
2019-04-21 12:00:00,15.1,51.79,2.7,0,0.1,269.2
2019-04-22 12:00:00,16.3,43.79,3.9,0,0.5,264.5
2019-04-23 12:00:00,15.9,54.88,3.1,0,0.83,185.5
2019-04-24 12:00:00,15.9,63.17,3.6,0.001,0.55,222.5
