time,ShortWave,AirTemp,RelHum,WindSpeed,Cloud,Rain,Snow
2018-12-07,18.1,10.5,86.21,7.4,0.93,0.002,0
2018-12-08,21.5,7.2,85.38,8.8,0.79,0.013,0
2018-12-09,17.8,7.2,88.29,8.2,0.8,0.003,0
2018-12-10,30.7,4.5,86.88,5.7,0.58,0.001,0
2018-12-11,25.1,3.4,88.54,4.1,0.79,0.001,0
2018-12-12,28.6,2.6,85.54,2.7,0.71,0,0
2018-12-13,40.9,0.1,74.29,3.1,0.46,0,0
2018-12-14,17.3,0.3,66.21,3,0.96,0,0
2018-12-15,17.2,-0.3,70.46,1.8,0.95,0,0.001
2018-12-16,17.2,-0.7,90.33,1.7,1,0,0.003
2018-12-17,17.1,2.9,98.67,2.7,0.93,0.001,0
2018-12-18,30.7,4,91.58,2.1,0.88,0,0
2018-12-19,17.1,3.5,93.58,1.4,0.95,0.001,0
2018-12-20,17,6.5,90.54,4.2,0.91,0.002,0
2018-12-21,17,8.9,87.67,8.1,0.93,0.007,0
2018-12-22,35.6,10.2,80.46,6.7,0.75,0,0
2018-12-23,17.1,8.6,93.38,4.1,0.94,0.013,0
2018-12-24,30.5,4.3,88.08,3.8,0.56,0,0
2018-12-25,19.7,-0.4,89.38,2.3,0.69,0,0
2018-12-26,17.2,-1.8,99.33,2.5,0.81,0,0
2018-12-27,17.2,-1.2,98.83,1.8,1,0,0
2018-12-28,17.3,-0.7,97.38,2.7,1,0,0
2018-12-29,17.4,1.1,96.33,4.7,1,0.001,0
2018-12-30,17.5,5.6,89.38,4.8,0.94,0.001,0
2018-12-31,17.6,6.5,98.67,2.7,0.98,0,0
2019-01-01,17.7,6.2,90.83,5.8,0.93,0.003,0
2019-01-02,36.4,1.8,76.54,5.2,0.39,0,0
2019-01-03,18,-0.7,91.38,2.6,0.78,0,0
2019-01-04,30.6,1.1,93.29,3.1,0.93,0.004,0
2019-01-05,18.3,4.6,93.54,6.4,0.93,0.003,0
2019-01-06,18.5,5.5,91.25,5.2,0.9,0.001,0
2019-01-07,19.5,4.4,91.42,4.8,0.94,0.006,0
2019-01-08,19.9,4.7,90.92,7.7,0.86,0.005,0
2019-01-09,25.1,3,75.13,5.2,0.84,0,0
2019-01-10,19.4,1.3,73.79,3.6,0.88,0,0
2019-01-11,19.5,0,93.63,3.8,0.98,0,0.004
2019-01-12,19.7,3.4,98.54,5.5,0.96,0.007,0
2019-01-13,20,6.5,95.92,6.9,0.81,0.007,0
2019-01-14,30.6,4.4,85.67,5.2,0.61,0.004,0
2019-01-15,20.5,3.9,84.5,5.4,0.89,0,0
2019-01-16,21.9,4.9,76.92,5.1,0.9,0,0
2019-01-17,32.4,4.7,85.13,6.8,0.74,0.003,0
2019-01-18,61.4,0.4,82.21,2.7,0.68,0,0
2019-01-19,81,-3.2,83.88,2.1,0.49,0,0
2019-01-20,80.7,-5.2,86.04,2.1,0.3,0,0
2019-01-21,81.1,-6.1,85.83,1.8,0.06,0,0
2019-01-22,22.6,-5.1,85.29,1.5,0.81,0,0
2019-01-23,22.9,-2.5,76.5,2.2,1,0,0
2019-01-24,23.3,-3.3,82.21,2.4,0.93,0,0
2019-01-25,23.6,-1.5,84.33,3.6,0.96,0,0.001
2019-01-26,24,2.4,93.38,5.8,0.99,0.001,0
2019-01-27,24.8,5.1,88.13,6.1,0.93,0.005,0
2019-01-28,24.9,2.4,87.08,7.2,0.9,0.002,0
2019-01-29,32.3,1,85.88,3,0.78,0,0
2019-01-30,25.5,0.7,81.17,3.7,0.93,0.001,0
2019-01-31,25.9,-0.3,86.92,1.8,0.74,0,0.001
2019-02-01,26.4,2.1,91.83,2,0.94,0.001,0
2019-02-02,26.8,3.4,97.71,1.8,0.98,0,0
2019-02-03,27.2,2.5,78.96,4.2,0.93,0,0
2019-02-04,87.1,0.2,81.08,2.3,0.61,0,0
2019-02-05,29.1,1.4,80.92,1.9,0.81,0,0
2019-02-06,90.7,-0.3,85.83,1.6,0.6,0,0
2019-02-07,30.2,2.4,89.25,2.7,0.79,0.001,0
2019-02-08,29.6,6.9,74.79,5.3,0.89,0.001,0
2019-02-09,37.3,7.2,81.96,7.3,0.86,0.002,0
2019-02-10,30.9,8.1,77.04,7.2,0.96,0.003,0
2019-02-11,38.4,4.7,77.83,6.6,0.78,0,0
2019-02-12,36.1,2.4,82.13,3.6,0.73,0,0
2019-02-13,99.2,1.6,81.04,1.6,0.49,0,0
2019-02-14,95.5,1.1,84.29,1.4,0.48,0,0
2019-02-15,126.4,5,73.88,2.5,0.03,0,0
2019-02-16,127.5,3.4,80.29,1.5,0.05,0,0
2019-02-17,128.1,3.4,79.08,1.3,0.63,0,0
2019-02-18,123.9,4.1,73.88,1.4,0.25,0,0
2019-02-19,69.4,7.1,72.46,2.9,0.69,0.001,0
2019-02-20,83.7,4.2,83.42,1.8,0.79,0,0
2019-02-21,61.2,6.3,85.83,2.1,0.7,0,0
2019-02-22,45.7,8.7,79.79,3,0.71,0,0
2019-02-23,129.2,3.9,66.04,2.7,0.6,0,0
2019-02-24,144.6,3.1,53.04,2.3,0.35,0,0
2019-02-25,146.3,5.4,55.08,2.1,0.46,0,0
2019-02-26,147.5,6.5,67.58,1.6,0.38,0,0
2019-02-27,150.6,5.9,68.17,1.4,0.03,0,0
2019-02-28,130.1,10.6,61.96,5,0.38,0.007,0
2019-03-01,42.4,8.6,87.54,4.6,0.9,0.001,0
2019-03-02,43.9,8.1,81.25,4.1,0.93,0,0
2019-03-03,42.6,10.4,73.88,7.1,0.93,0,0
2019-03-04,51.5,9.3,72.71,8.4,0.86,0.004,0
2019-03-05,68.9,6,82.5,6.7,0.8,0.002,0
2019-03-06,110.4,9.5,70.54,2.6,0.9,0.001,0
2019-03-07,80.8,10.4,67.08,8.2,0.76,0.002,0
2019-03-08,64.9,7.3,78.42,7,0.76,0.003,0
2019-03-09,55.7,9.5,72.5,9,0.88,0.004,0
2019-03-10,81.5,9.8,73.88,9.3,0.84,0.003,0
2019-03-11,105.8,5.4,62.83,7.7,0.64,0,0
2019-03-12,115.4,6.7,56.54,5.6,0.81,0,0
2019-03-13,60.3,6.1,76.13,9,0.76,0.004,0
2019-03-14,60.4,5.5,91.92,7.1,0.85,0.011,0
2019-03-15,51.5,9.3,87.92,8.7,0.9,0.004,0
2019-03-16,50.3,10.7,77.38,6.9,0.84,0,0
2019-03-17,55.4,7.9,79,7,0.69,0.003,0
2019-03-18,105.3,5,78.29,4.5,0.48,0,0
2019-03-19,182.6,3.7,72.67,1.5,0.19,0,0
2019-03-20,196.5,4.2,69.42,1.4,0.35,0,0
2019-03-21,202.1,7.2,61.79,2.1,0.5,0,0
2019-03-22,201.9,9.3,62.75,2.1,0.34,0,0
2019-03-23,196.3,9.2,70.08,2.6,0.43,0,0
2019-03-24,104.8,7.3,78.21,3.2,0.44,0,0
2019-03-25,97.2,4.5,79.08,4.7,0.63,0.002,0
2019-03-26,91.1,4.6,78.13,3.1,0.64,0,0
2019-03-27,108.6,5.4,74.13,1.1,0.53,0,0
2019-03-28,121.2,7.3,73.92,2.4,0.6,0,0
2019-03-29,195.7,8.8,73.08,2.5,0.16,0,0
2019-03-30,195.7,10,66.58,2.3,0.19,0,0
2019-03-31,183.1,10.9,63.25,4,0.26,0,0
2019-04-01,216.6,10.7,62.25,3.7,0.09,0,0
2019-04-02,145.9,13,59.21,3.7,0.74,0,0
2019-04-03,61.1,8.5,84.42,3.1,0.99,0.008,0
2019-04-04,61.7,5.2,94.33,3,0.96,0.002,0
2019-04-05,62.3,6.5,93.08,1.9,0.98,0,0
2019-04-06,145.6,9.6,80.92,2.1,0.76,0,0
2019-04-07,208.7,12.6,66.42,2.2,0.56,0,0
2019-04-08,103.5,12,80.04,3.1,0.85,0,0
2019-04-09,78.3,10.8,86.17,2,0.86,0.011,0
2019-04-10,153.7,9.5,65.75,5.6,0.65,0,0
2019-04-11,247.6,6.8,50.71,5.2,0.09,0,0
2019-04-12,111.7,4.4,56.88,4.5,0.69,0,0
2019-04-13,97.5,3.7,71.92,4.1,0.91,0.004,0
2019-04-14,201.9,5.9,70.33,4.9,0.73,0,0
2019-04-15,244.9,9.9,62.54,3.2,0.19,0,0
2019-04-16,213.9,11.9,56.92,3.3,0.54,0.003,0
2019-04-17,158,12.4,74.5,2.4,0.73,0,0
2019-04-18,251.2,14,54.71,3.6,0.29,0,0
2019-04-19,267,14.4,52.58,3.1,0.06,0,0
2019-04-20,267.5,15.5,49.83,3,0.04,0,0
2019-04-21,269.2,15.1,51.79,2.7,0.1,0,0
2019-04-22,264.5,16.3,43.79,3.9,0.5,0,0
2019-04-23,185.5,15.9,54.88,3.1,0.83,0,0
2019-04-24,222.5,15.9,63.17,3.6,0.55,0.001,0
2019-04-25,183.6,14.5,62.96,3.4,0.51,0.001,0
2019-04-26,76.7,10.2,87.67,4.1,0.84,0.003,0
2019-04-27,131.4,9,90.67,4.2,0.78,0.008,0
2019-04-28,195.6,7.9,77.63,3.3,0.59,0,0
2019-04-29,149.8,8.1,85.67,1.9,0.84,0.002,0
2019-04-30,267.5,12.5,66.25,4.3,0.33,0,0
2019-05-01,270,12,68.79,1.7,0.15,0,0
2019-05-02,222.6,12.4,72.08,3.2,0.7,0,0
2019-05-03,179.4,11,63.54,4.9,0.66,0.002,0
2019-05-04,117.8,5.5,85.25,3.3,0.79,0.004,0
